date,bund_yield
2023-01-03,2.3
2023-01-04,2.1429
2023-01-05,2.1421
2023-01-06,2.0881
2023-01-09,2.0591
2023-01-10,2.1115
2023-01-11,1.9132
2023-01-12,1.8202
2023-01-13,1.847
2023-01-16,1.859
2023-01-17,1.8454
2023-01-18,1.8164
2023-01-19,1.884
2023-01-20,2.0
2023-01-23,2.0008
2023-01-24,1.8655
2023-01-25,1.9093
2023-01-26,2.0085
2023-01-27,2.0792
2023-01-30,2.1422
2023-01-31,2.0493
2023-02-01,1.9797
2023-02-02,1.606
2023-02-03,1.651
2023-02-06,1.8091
2023-02-07,1.8936
2023-02-08,1.9765
2023-02-09,1.9661
2023-02-10,2.0412
2023-02-13,2.0567
2023-02-14,2.1561
2023-02-15,2.121
2023-02-16,2.0995
2023-02-17,2.0835
2023-02-20,2.1046
2023-02-21,2.3223
2023-02-22,2.3001
2023-02-23,2.2304
2023-02-24,2.2695
2023-02-27,2.3458
2023-02-28,2.4907
2023-03-01,2.3794
2023-03-02,2.4387
2023-03-03,2.4193
2023-03-06,2.4046
2023-03-07,2.3099
2023-03-08,2.2509
2023-03-09,2.2875
2023-03-10,2.2004
2023-03-13,2.0133
2023-03-14,2.1945
2023-03-15,1.9549
2023-03-16,2.0582
2023-03-17,1.9335
2023-03-20,1.9273
2023-03-21,1.9439
2023-03-22,2.0243
2023-03-23,1.8454
2023-03-24,1.8388
2023-03-27,1.9454
2023-03-28,2.02
2023-03-29,2.0175
2023-03-30,2.0661
2023-03-31,2.0379
2023-04-03,1.9658
2023-04-04,2.0229
2023-04-05,1.9303
2023-04-06,1.8987
2023-04-11,2.0428
2023-04-12,2.0722
2023-04-13,2.0406
2023-04-14,2.0838
2023-04-17,2.144
2023-04-18,2.1478
2023-04-19,2.2071
2023-04-20,2.1404
2023-04-21,2.1357
2023-04-24,2.1315
2023-04-25,2.0081
2023-04-26,1.9981
2023-04-27,2.1261
2023-04-28,2.0425
2023-05-02,1.9409
2023-05-03,1.928
2023-05-04,1.9638
2023-05-05,2.1078
2023-05-09,2.2242
2023-05-10,2.1578
2023-05-11,2.0181
2023-05-12,2.0919
2023-05-15,2.1686
2023-05-16,2.2042
2023-05-17,2.2105
2023-05-18,2.3274
2023-05-19,2.2877
2023-05-22,2.2929
2023-05-23,2.3558
2023-05-24,2.3008
2023-05-25,2.3371
2023-05-26,2.4058
2023-05-30,2.2467
2023-05-31,2.224
2023-06-01,2.23
2023-06-02,2.2248
2023-06-05,2.2506
2023-06-06,2.2716
2023-06-07,2.3866
2023-06-08,2.3618
2023-06-09,2.3683
2023-06-12,2.2651
2023-06-13,2.3693
2023-06-14,2.4165
2023-06-15,2.4531
2023-06-16,2.4526
2023-06-19,2.4937
2023-06-20,2.3471
2023-06-21,2.3142
2023-06-22,2.3893
2023-06-23,2.3068
2023-06-26,2.22
2023-06-27,2.2604
2023-06-28,2.1528
2023-06-29,2.2668
2023-06-30,2.3206
2023-07-03,2.35
2023-07-04,2.4392
2023-07-05,2.4636
2023-07-06,2.6282
2023-07-07,2.6525
2023-07-10,2.606
2023-07-11,2.6947
2023-07-12,2.5193
2023-07-13,2.4447
2023-07-14,2.4242
2023-07-17,2.3737
2023-07-18,2.2383
2023-07-19,2.1425
2023-07-20,2.2125
2023-07-21,2.2108
2023-07-24,2.1889
2023-07-25,2.2848
2023-07-26,2.3853
2023-07-27,2.3736
2023-07-28,2.3449
2023-07-31,2.3618
2023-08-01,2.3744
2023-08-02,2.3535
2023-08-03,2.3973
2023-08-04,2.3256
2023-08-07,2.3887
2023-08-08,2.2831
2023-08-09,2.2603
2023-08-10,2.25
2023-08-11,2.3885
2023-08-14,2.4462
2023-08-15,2.5409
2023-08-16,2.5537
2023-08-17,2.6473
2023-08-18,2.553
2023-08-21,2.6159
2023-08-22,2.5987
2023-08-23,2.4142
2023-08-24,2.3676
2023-08-25,2.3998
2023-08-29,2.3084
2023-08-30,2.3495
2023-08-31,2.32
2023-09-01,2.3918
2023-09-04,2.4609
2023-09-05,2.5321
2023-09-06,2.5211
2023-09-07,2.4536
2023-09-08,2.4221
2023-09-11,2.487
2023-09-12,2.4621
2023-09-13,2.4896
2023-09-14,2.4134
2023-09-15,2.4796
2023-09-18,2.5142
2023-09-19,2.5278
2023-09-20,2.4426
2023-09-21,2.4605
2023-09-22,2.4146
2023-09-25,2.4978
2023-09-26,2.4916
2023-09-27,2.5884
2023-09-28,2.7269
2023-09-29,2.5737
2023-10-02,2.6516
2023-10-03,2.6929
2023-10-04,2.6898
2023-10-05,2.6515
2023-10-06,2.6715
2023-10-09,2.5756
2023-10-10,2.5448
2023-10-11,2.4981
2023-10-12,2.5586
2023-10-13,2.5062
2023-10-16,2.5413
2023-10-17,2.602
2023-10-18,2.6731
2023-10-19,2.5879
2023-10-20,2.5367
2023-10-23,2.5165
2023-10-24,2.4941
2023-10-25,2.53
2023-10-26,2.5173
2023-10-27,2.4462
2023-10-30,2.3925
2023-10-31,2.4142
